"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11089","should successfully log in with valid credentials","webkit","Tue Sep 09 12:46:42 IST 2025","failed","Tue Sep 09 12:46:54 IST 2025","Swag labs","OLD\specs\login1.test.js","",""
"","30682","test","webkit","Wed Sep 10 11:31:03 IST 2025","broken","Wed Sep 10 11:31:34 IST 2025","","OLD\flipkart.spec.js","",""
"","13322","Failed login test","firefox","Mon Sep 08 16:57:14 IST 2025","failed","Mon Sep 08 16:57:27 IST 2025","","sample.spec.js","",""
"","22070","test","webkit","Wed Sep 10 11:39:04 IST 2025","passed","Wed Sep 10 11:39:26 IST 2025","","OLD\flipkart.test.js","",""
"","30184","Smoke Test - Site Loads Correctly","firefox","Tue Sep 09 12:34:34 IST 2025","broken","Tue Sep 09 12:35:05 IST 2025","","OLD\pages\smoke_test1.spec.js","",""
"","12421","test","chromium","Wed Sep 10 11:39:04 IST 2025","passed","Wed Sep 10 11:39:16 IST 2025","","OLD\flipkart.test.js","",""
"","7453","should successfully log in with valid credentials","chromium","Tue Sep 09 14:23:19 IST 2025","failed","Tue Sep 09 14:23:27 IST 2025","Swag labs","specs\login2.test.js","",""
"","23676","test","firefox","Wed Sep 10 11:31:03 IST 2025","passed","Wed Sep 10 11:31:27 IST 2025","","OLD\flipkart.spec.js","",""
"","3756","should successfully log in with valid credentials","firefox","Tue Sep 09 13:09:15 IST 2025","failed","Tue Sep 09 13:09:19 IST 2025","Swag labs","specs\login2.test.js","",""
"","9259","Successful login test","chromium","Mon Sep 08 16:57:14 IST 2025","passed","Mon Sep 08 16:57:23 IST 2025","","sample.spec.js","",""
"","5101","Smoke Test - Site Loads Correctly","webkit","Tue Sep 09 12:34:34 IST 2025","passed","Tue Sep 09 12:34:39 IST 2025","","OLD\pages\smoke_test1.spec.js","",""
"","4578","Smoke Test - Site Loads Correctly","chromium","Tue Sep 09 12:34:34 IST 2025","passed","Tue Sep 09 12:34:39 IST 2025","","OLD\pages\smoke_test1.spec.js","",""
"","7761","should successfully log in with valid credentials","firefox","Tue Sep 09 14:41:51 IST 2025","passed","Tue Sep 09 14:41:58 IST 2025","Swag Labs","specs\login2.test.js","",""
"","13844","Failed login test","chromium","Mon Sep 08 16:57:14 IST 2025","failed","Mon Sep 08 16:57:28 IST 2025","","sample.spec.js","",""
"","9516","should successfully log in with valid credentials","chromium","Tue Sep 09 12:46:42 IST 2025","failed","Tue Sep 09 12:46:52 IST 2025","Swag labs","OLD\specs\login1.test.js","",""
"","18491","test","firefox","Wed Sep 10 11:39:04 IST 2025","passed","Wed Sep 10 11:39:22 IST 2025","","OLD\flipkart.test.js","",""
"","3552","should successfully log in with valid credentials","chromium","Tue Sep 09 14:45:01 IST 2025","passed","Tue Sep 09 14:45:04 IST 2025","Swag Labs","specs\login2.test.js","",""
"","6382","Successful login test","webkit","Mon Sep 08 16:57:32 IST 2025","passed","Mon Sep 08 16:57:38 IST 2025","","sample.spec.js","",""
"","3818","should successfully log in with valid credentials","webkit","Tue Sep 09 13:09:15 IST 2025","failed","Tue Sep 09 13:09:19 IST 2025","Swag labs","specs\login2.test.js","",""
"","10147","Failed login test","webkit","Mon Sep 08 16:57:36 IST 2025","failed","Mon Sep 08 16:57:46 IST 2025","","sample.spec.js","",""
"","9303","Successful login test","firefox","Mon Sep 08 16:57:14 IST 2025","passed","Mon Sep 08 16:57:23 IST 2025","","sample.spec.js","",""
"","7818","should successfully log in with valid credentials","webkit","Tue Sep 09 14:41:51 IST 2025","passed","Tue Sep 09 14:41:59 IST 2025","Swag Labs","specs\login2.test.js","",""
"","30169","should successfully log in with valid credentials","firefox","Tue Sep 09 12:46:43 IST 2025","broken","Tue Sep 09 12:47:13 IST 2025","Swag labs","OLD\specs\login1.test.js","",""
"","7723","test","chromium","Wed Sep 10 11:31:03 IST 2025","passed","Wed Sep 10 11:31:11 IST 2025","","OLD\flipkart.spec.js","",""
